#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,,,,,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,,,,
4.79,0,4.78,0,4.9,1,4.76,0,4.81,0,4.75,0,4.78,0,4.78,0,4.79,0,4.79,0,4.76,0,4.8,0,4.83,0,,,,
4.87,0,4.86,0,4.94,0,4.84,0,4.89,0,4.79,0,4.86,0,4.86,0,4.87,0,4.87,0,4.84,0,4.88,1,4.95,0,,,,
4.95,0,4.94,0,4.98,0,4.92,0,4.97,0,4.81,0,4.94,0,4.94,0,4.95,0,4.95,0,4.92,0,4.96,0.78,5,0,,,,
5.03,0,5.02,0,5.02,0,5,0,5.05,0,4.83,0,5.02,0,5.02,0.2,5.03,0.636363636,5.03,0,5,0.820895522,5.04,0.75,5.07,1,,,,
5.11,0,5.1,0.266666667,5.06,0.579710145,5.08,0,5.13,0,4.91,0,5.1,0,5.1,0,5.11,0.935483871,5.11,0,5.08,0,5.12,0.48,5.29,1,,,,
5.19,0,5.18,0.141414141,5.1,1,5.16,0,5.21,0,4.95,0,5.18,0,5.18,0,5.19,0,5.19,0,5.16,0,5.2,0.43,5.52,0.94,,,,
5.27,0.589430894,5.26,0.325,5.14,1,5.88,0.478764479,5.29,0,4.99,0.444444444,5.26,0,5.26,0,5.35,0,5.27,0,5.28,0.980099502,5.32,0.22,5.62,1,,,,
5.35,0.48125,5.34,0.512605042,5.18,0.982142857,5.96,0.20758483,5.37,0,5.33,1,5.34,0,5.34,0,5.43,0,5.35,0,5.44,0.948717949,5.39,0.55,5.74,0.87,,,,
5.59,0.373134328,5.42,0,5.22,1,6.04,0,5.61,0,5.45,0.333333333,5.42,0,5.42,0,5.51,0,5.43,0,5.56,0.971910112,5.55,0.94,5.87,0.8,,,,
5.67,0.474137931,5.5,0.736686391,5.26,0.991452991,6.12,0,6.01,0,5.47,0.318181818,5.58,0,5.5,0,5.59,0,5.51,0,5.68,0.255102041,5.67,0.9,5.95,0.83,,,,
5.75,0.522123894,5.58,0.749360614,5.3,1,6.36,0.581761006,6.09,0,5.51,0.476190476,5.66,0,5.58,0,5.67,0,5.59,0,5.76,0.51465798,5.86,0.85,6.06,0.95,,,,
5.83,0.537344398,5.66,0.69955157,5.34,1,6.52,0,6.17,0,5.55,0.227272727,5.74,0,5.66,0,5.75,0,5.67,0,5.88,0,6.1,0.62,6.16,0.85,,,,
5.99,0.521963824,5.74,0.668711656,5.38,0,6.68,0,6.25,0,5.59,1,5.82,0,5.74,0,5.83,0,5.75,0,6,0,6.34,0.56,6.3,0.93,,,,
6.07,0.487730061,5.82,0.638888889,5.42,0,6.76,0,6.57,0,5.63,0.545454545,5.9,0,5.82,0,5.91,0,5.83,0,6.12,0,6.49,0.24,6.4,1,,,,
6.15,0.520689655,5.9,0.770137525,5.46,0,6.87,0,6.73,0,5.69,1,5.98,0,5.9,0,5.99,0,5.91,0,6.2,0,6.65,0,6.48,1,,,,
6.23,0.659574468,5.98,0.732,5.5,0,,,6.81,0,5.71,1,6.06,0,5.98,0,6.07,0,5.99,0,6.28,0,6.77,0,6.55,1,,,,
6.31,0.788844622,6.06,0.68018018,5.54,0,,,,,5.75,1,6.14,0,6.06,0,6.15,0,6.07,0,6.4,0,6.88,0,6.62,0.91,,,,
6.39,0.564,6.14,0.671641791,5.58,0,,,,,5.77,1,6.22,0,6.14,0,6.23,0,6.15,0,6.48,0,,,6.74,0,,,,
6.47,0.039855072,6.22,0.510028653,5.62,0,,,,,5.79,1,6.38,0,6.38,0,6.31,0,6.23,0,6.56,0,,,6.87,0,,,,
6.55,0,6.3,0.392638037,5.66,0,,,,,5.87,1,6.46,0,6.46,0,6.39,0,6.31,0,6.68,0,,,,,,,,
6.63,0,6.38,0.426174497,5.7,0.403409091,,,,,5.89,1,6.54,0,6.54,0,6.47,0,6.39,0,6.8,0,,,,,,,,
6.87,0,6.46,0.381625442,5.74,0,,,,,5.93,1,6.62,0,6.78,0,6.55,0,6.47,0,6.92,0,,,,,,,,
6.92,0,6.54,0,5.78,0,,,,,6.01,1,6.7,0,6.86,0,6.63,0,6.55,0,,,,,,,,,,
,,6.62,0,5.82,0,,,,,6.05,0.714285714,6.78,0,6.94,0,6.71,0,6.63,0,,,,,,,,,,
,,6.7,0,5.86,0,,,,,6.09,1,6.86,0,,,6.79,0,6.71,0,,,,,,,,,,
,,6.78,0,5.9,0,,,,,6.29,1,,,,,6.84,0,6.79,0,,,,,,,,,,
,,6.86,0,,,,,,,6.37,1,,,,,,,6.87,0,,,,,,,,,,
,,6.94,0,,,,,,,6.45,1,,,,,,,6.95,0,,,,,,,,,,
,,7.02,0,,,,,,,6.53,1,,,,,,,,,,,,,,,,,,
,,7.1,0,,,,,,,6.65,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6.77,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6.86,0,,,,,,,,,,,,,,,,,,